id,letter,case,font,size,width,height,weight,density,x_center,y_center,x_rel_center,y_rel_center,x_axial,y_axial,x_rel_axial,y_rel_axial,orientation_angle
5682,ща,capital,AkathUcs8,32,29,22,295.58039215686273,0.46329215071608576,10.4715747018163,11.395778329109895,0.47598066826437724,0.3929578734175826,16219.900143781659,11807.977838426044,0.18565084667753723,0.13515256344496152,0.02360874622897217
5683,ща,capital,AkathUcs8,33,30,23,249.45098039215685,0.3615231599886331,10.994199025310488,12.092988523817011,0.47800865327436903,0.40309961746056705,16056.85087404558,9907.697488001331,0.25804172926333463,0.1592217186842264,0.004095920816701523
5684,ща,capital,AkathUcs8,34,31,23,275.156862745098,0.3859142534994362,11.751072472030216,12.35734340483147,0.5109161944360964,0.39862398080101513,17813.032662002595,12152.142085476391,0.2352757497236361,0.1605063210829581,0.025374765337271843
5685,ща,capital,AkathUcs8,35,32,24,254.5607843137255,0.3314593545751634,11.623896600064702,12.51960316115416,0.4843290250026959,0.3912375987860675,17585.07178422522,11551.254163113646,0.27136956889875097,0.1782568135602389,0.0052333234264769464
5686,ща,capital,AkathUcs8,36,33,25,272.59999999999997,0.3304242424242424,11.987556284436007,13.375915296419375,0.4795022513774403,0.4053307665581629,21187.842970153983,13434.126416415835,0.28512483212598,0.1807830577485123,-0.0002762327054998659
5687,ща,capital,AkathUcs8,37,35,26,361.8509803921569,0.3976384399913812,12.484524015952836,13.835963239119126,0.48017400061357063,0.3953132354034036,29447.251527793363,18267.521177626593,0.22489782671579386,0.1395147458313852,-0.0028906178599007043
5688,ща,capital,AkathUcs8,38,35,26,334.5921568627451,0.3676836888601595,11.998511503615758,13.836546688388555,0.46148121167752915,0.39532990538253016,27426.89600045595,16865.469846905722,0.24498818867071803,0.1506492352909843,-0.057257429601350836
5689,ща,capital,AkathUcs8,39,36,27,372.98823529411766,0.3837327523602034,13.13454663975103,14.247382033812768,0.48646469036114925,0.3957606120503547,31906.793522064385,21149.000810396494,0.2293469107571939,0.15201960040615198,0.009877098296044265
5690,ща,capital,AkathUcs8,40,37,28,392.55686274509804,0.37891589068059656,13.493077061397376,15.040978202233722,0.48189560933562053,0.4065129243846952,36916.71336240956,24153.069421190386,0.23956197297392465,0.1567354305653951,-0.0037290883768354563
5691,ща,capital,FedorovskUnicode,31,31,28,354.26666666666665,0.4081413210445468,13.137218003497974,14.124720494144215,0.4691863572677848,0.455636144972394,25146.148134088144,24173.69037501427,0.20035993751848827,0.19261157085777958,0.5768130395422437
5692,ща,capital,FedorovskUnicode,32,32,28,381.72549019607845,0.42603291316526615,13.818235052393671,14.186613930552703,0.4935083947283454,0.44333168532977196,28251.85552137847,27722.207971694123,0.19388519763131334,0.19025036310627538,0.7078485581302648
5693,ща,capital,FedorovskUnicode,33,33,29,389.956862745098,0.40747843547032186,14.52185762125524,14.535584629773027,0.5007537110777669,0.4404722615082735,29160.27385799039,31549.397029255695,0.19176019505405423,0.2074712520750245,-0.4947804615223589
5694,ща,capital,FedorovskUnicode,34,33,30,413.26666666666665,0.41744107744107745,14.637209037510795,15.219684389322756,0.4879069679170265,0.4612025572522047,32043.47092824623,33031.34814087103,0.1876198558128935,0.19340404132165268,-0.2734615110646752
